apiurl,domain,family,title,required_params,optional_params,response_field_count
"/etc/comp/comp_market_hist","etc","comp","기업 시장점유율 추이","cust_id, auth_key, jcode","","6"
"/etc/comp/comp_sales","etc","comp","기업 매출액 구성비","cust_id, auth_key, jcode, yyyymm","","5"
"/etc/comp/comp_sales_hist","etc","comp","기업 매출액 구성비 추이","cust_id, auth_key, jcode","","5"
"/etc/cons/comp_cons","etc","cons","컨센서스 회계년도 전체","cust_id, auth_key, jcode, yyyymm","","6"
"/etc/cons/comp_cons_code","etc","cons","컨센서스 계정코드 일람","cust_id, auth_key","","10"
"/etc/cons/comp_cons_hist","etc","cons","컨센서스 계정별 추이","cust_id, auth_key, jcode, icode","sdate, edate","6"
"/etc/cons/comp_cons_item","etc","cons","컨센서스 회계년도 계정별","cust_id, auth_key, jcode, yyyymm, icode","","6"
"/etc/economic/checkcode","etc","economic","경제지표 코드정보","cust_id, auth_key","","15"
"/etc/economic/indicator","etc","economic","경제지표","cust_id, auth_key, check_code","syear, eyear","12"
"/etc/gaap/comp_gaap","etc","gaap","GAAP 회계년도 전체","cust_id, auth_key, jcode, yyyymm","","6"
"/etc/gaap/comp_gaap_code","etc","gaap","GAAP 계정코드 일람","cust_id, auth_key","","12"
"/etc/gaap/comp_gaap_hist","etc","gaap","GAAP 계정별 추이","cust_id, auth_key, jcode, icode","sdate, edate","6"
"/etc/gaap/comp_gaap_item","etc","gaap","GAAP 회계년도 계정별","cust_id, auth_key, jcode, yyyymm, icode","","6"
"/etc/ifrs/comp_ifrs","etc","ifrs","IFRS 회계년도 전체","cust_id, auth_key, jcode, yyyymm","","6"
"/etc/ifrs/comp_ifrs_code","etc","ifrs","IFRS 계정코드 일람","cust_id, auth_key","","12"
"/etc/ifrs/comp_ifrs_hist","etc","ifrs","IFRS 계정별 추이","cust_id, auth_key, jcode, icode","sdate, edate","6"
"/etc/ifrs/comp_ifrs_item","etc","ifrs","IFRS 회계년도 계정별","cust_id, auth_key, jcode, yyyymm, icode","","6"
"/etc/ifrs/comp_perf_date","etc","ifrs","실적발표일","cust_id, auth_key, jcode","","7"
"/etc/trend/trend_bank","etc","trend","금융기관 수신고 - 은행","cust_id, auth_key, sdate, edate","dcnt","4"
"/etc/trend/trend_comp","etc","trend","금융기관 수신고 - 종금","cust_id, auth_key, sdate, edate","dcnt","4"
"/etc/trend/trend_inv","etc","trend","금융기관 수신고 - 투신","cust_id, auth_key, sdate, edate","dcnt","8"
"/etc/trend/trend_secu","etc","trend","금융기관 수신고 - 증권사","cust_id, auth_key, sdate, edate","dcnt","3"
"/ext/m174/basic_info","ext","m174","기본정보","cust_id, auth_key, jcode","","8"
"/ext/m174/code_info","ext","m174","코드정보","cust_id, auth_key","","4"
"/ext/m174/hist_info","ext","m174","일별정보","cust_id, auth_key, jcode, sdate, edate","","12"
"/ext/m184/basic_info","ext","m184","기본정보","cust_id, auth_key, jcode","","14"
"/ext/m184/code_info","ext","m184","코드정보","cust_id, auth_key","","2"
"/ext/m184/hist_info","ext","m184","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m184/intra_info","ext","m184","주기정보(10초)","cust_id, auth_key, jcode","","11"
"/ext/m184/term_hist_info","ext","m184","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m185/basic_info","ext","m185","기본정보","cust_id, auth_key, jcode","","14"
"/ext/m185/code_info","ext","m185","코드정보","cust_id, auth_key","","2"
"/ext/m185/hist_info","ext","m185","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m185/intra_info","ext","m185","주기정보(10초)","cust_id, auth_key, jcode","","11"
"/ext/m185/term_hist_info","ext","m185","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","8"
"/ext/m186/basic_info","ext","m186","기본정보","cust_id, auth_key, jcode","","14"
"/ext/m186/code_info","ext","m186","코드정보","cust_id, auth_key","","2"
"/ext/m186/hist_info","ext","m186","일별정보","cust_id, auth_key, jcode, sdate, edate","","10"
"/ext/m186/intra_info","ext","m186","주기정보(10초)","cust_id, auth_key, jcode","","11"
